"region","year","n_sales","mean_price","median_price"
"Stockholms län",2000,20553,926000,675000
"Stockholms län",2001,21372,992000,760000
"Stockholms län",2002,23475,1132000,890000
"Stockholms län",2003,25123,1151000,895000
"Stockholms län",2004,28217,1238000,975000
"Stockholms län",2005,30390,1403000,1130000
"Stockholms län",2006,31302,1649000,1350000
"Stockholms län",2007,33781,1984000,1625000
"Stockholms län",2008,30451,1874000,1560000
"Stockholms län",2009,34271,2003000,1640000
"Stockholms län",2010,35569,2170000,1750000
"Stockholms län",2011,34614,2249000,1820000
"Stockholms län",2012,35235,2321000,1895000
"Stockholms län",2013,38660,2475000,2042000
"Stockholms län",2014,41433,2724000,2300000
"Stockholms län",2015,42067,3247000,2750000
"Stockholms län",2016,39567,3527000,3e+06
"Stockholms län",2017,41031,3661000,3100000
"Stockholms län",2018,36606,3465000,2900000
"Stockholms län",2019,38166,3552000,2950000
"Stockholms län",2020,43616,3790000,3120000
"Stockholms län",2021,48306,4088000,3313000
"Stockholms län",2022,40113,4121000,3350000
"Stockholms län",2023,34535,4037000,3300000
"Stockholms län",2024,39863,4214000,3400000
"Stockholms län",2025,39748,4321000,3500000
"Uppsala län",2000,4313,404000,370000
"Uppsala län",2001,4082,482000,455000
"Uppsala län",2002,3938,584000,560000
"Uppsala län",2003,4387,631000,6e+05
"Uppsala län",2004,4263,678000,650000
"Uppsala län",2005,4619,733000,690000
"Uppsala län",2006,4762,820000,775000
"Uppsala län",2007,4256,902000,825000
"Uppsala län",2008,4472,975000,9e+05
"Uppsala län",2009,4567,1066000,995000
"Uppsala län",2010,5007,1244000,1200000
"Uppsala län",2011,4626,1341000,1300000
"Uppsala län",2012,4563,1473000,1420000
"Uppsala län",2013,4593,1565000,1560000
"Uppsala län",2014,4677,1724000,1715000
"Uppsala län",2015,5182,2e+06,1950000
"Uppsala län",2016,5002,2083000,2e+06
"Uppsala län",2017,5076,2177000,2080000
"Uppsala län",2018,4745,2060000,1950000
"Uppsala län",2019,4800,2084000,1923000
"Uppsala län",2020,5276,2192000,2050000
"Uppsala län",2021,5943,2376000,2200000
"Uppsala län",2022,5120,2426000,2200000
"Uppsala län",2023,4301,2251000,2050000
"Uppsala län",2024,4929,2334000,2100000
"Uppsala län",2025,5080,2320000,2050000
"Södermanlands län",2000,1829,97000,62000
"Södermanlands län",2001,1746,115000,80000
"Södermanlands län",2002,2008,166000,110000
"Södermanlands län",2003,1891,210000,150000
"Södermanlands län",2004,1963,256000,190000
"Södermanlands län",2005,2241,303000,240000
"Södermanlands län",2006,2160,358000,285000
"Södermanlands län",2007,2226,452000,370000
"Södermanlands län",2008,2241,450000,380000
"Södermanlands län",2009,2119,503000,425000
"Södermanlands län",2010,2282,571000,475000
"Södermanlands län",2011,2150,582000,495000
"Södermanlands län",2012,2188,597000,5e+05
"Södermanlands län",2013,2240,654000,555000
"Södermanlands län",2014,2189,745000,650000
"Södermanlands län",2015,2437,910000,795000
"Södermanlands län",2016,2375,1099000,990000
"Södermanlands län",2017,2403,1311000,1200000
"Södermanlands län",2018,2369,1289000,1200000
"Södermanlands län",2019,2419,1332000,1200000
"Södermanlands län",2020,2640,1420000,1300000
"Södermanlands län",2021,2863,1590000,1450000
"Södermanlands län",2022,2317,1627000,1480000
"Södermanlands län",2023,1939,1444000,1300000
"Södermanlands län",2024,2015,1459000,1300000
"Södermanlands län",2025,1934,1429000,1300000
"Östergötlands län",2000,2505,115000,83000
"Östergötlands län",2001,2853,147000,105000
"Östergötlands län",2002,2960,186000,140000
"Östergötlands län",2003,3021,219000,170000
"Östergötlands län",2004,3055,290000,230000
"Östergötlands län",2005,3204,316000,256000
"Östergötlands län",2006,3280,395000,325000
"Östergötlands län",2007,3526,473000,4e+05
